a,b,a*b
0.0099660,0.09,0.00089709
0.0099660,1.96,0.01956
0.0099660,0.96,0.00957736
0.0099660,10.9,0.10870074
0.0099660,123.0,1.227218
0.0374368,0.09,0.003368032
0.0374368,1.96,0.07329968
0.0374368,0.96,0.036000768
0.0374368,10.9,0.40812
0.0374368,123.0,4.60766
0.9783497,0.09,0.088051473
0.9783497,1.96,1.920776312
0.9783497,0.96,0.938302752
0.9783497,10.9,10.64579293
0.9783497,123.0,120.0
5.9283700,0.09,0.533553
5.9283700,1.96,11.609264
5.9283700,0.96,5.6919992
5.9283700,10.9,64.5799993
5.9283700,123.0,729.0721
12.484789,0.09,1.12363001
12.484789,1.96,24.43915734
12.484789,0.96,11.97996944
12.484789,10.9,136.4858291
12.484789,123.0,1532.349197
908.17286,0.09,81.7355574
908.17286,1.96,1782.3840086
908.17286,0.96,872.8303456
908.17286,10.9,9876.885234
908.17286,123.0,111.0000006
